MS-DRG ,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,27.1011,30.0,38.6
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,16.1549,18.1,22.2
003,PRE,SURG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.9495,25.3,31.9
004,PRE,SURG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.9257,20.1,24.4
005,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.2721,15.4,21.3
006,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.8095,7.7,8.5
007,PRE,SURG,LUNG TRANSPLANT,9.6933,15.9,18.5
008,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.4864,9.3,10.6
010,PRE,SURG,PANCREAS TRANSPLANT,3.8403,8.0,9.1
011,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",5.0013,11.5,14.3
012,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.4858,8.5,9.9
013,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2.2677,5.9,6.8
014,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,11.6407,23.8,27.9
016,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.1050,17.2,18.5
017,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.0701,8.5,11.6
020, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.7053,13.4,16.4
021, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,7.2910,11.9,13.6
022, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.6095,6.2,7.7
